mon;sd2neg
0;11,1
1;12,0
2;13,0
3;13,6
4;13,9
5;14,1
6;14,1
7;14,2
8;14,1
9;14,1
10;14,0
11;13,9
12;13,8
13;13,7
14;13,6
15;13,5
16;13,5
17;13,4
18;13,3
19;13,3
20;13,2
21;13,2
22;13,1
23;13,1
24;13,3
25;13,3
26;13,3
27;13,3
28;13,3
29;13,2
30;13,2
31;13,2
32;13,2
33;13,1
34;13,1
35;13,1
36;13,1
37;13,1
38;13,0
39;13,0
40;13,0
41;13,0
42;12,9
43;12,9
44;12,9
45;12,9
46;12,9
47;12,8
48;12,8
49;12,8
50;12,8
51;12,8
52;12,8
53;12,7
54;12,7
55;12,7
56;12,7
57;12,7
58;12,7
59;12,7
60;12,7
61;12,7
62;12,7
63;12,7
64;12,7
65;12,7
66;12,7
67;12,7
68;12,7
69;12,7
70;12,7
71;12,7
72;12,7
73;12,7
74;12,7
75;12,7
76;12,7
77;12,7
78;12,7
79;12,7
80;12,7
81;12,7
82;12,7
83;12,7
84;12,7
85;12,7
86;12,8
87;12,8
88;12,8
89;12,8
90;12,8
91;12,8
92;12,8
93;12,8
94;12,9
95;12,9
96;12,9
97;12,9
98;12,9
99;12,9
100;13,0
101;13,0
102;13,0
103;13,0
104;13,0
105;13,1
106;13,1
107;13,1
108;13,1
109;13,2
110;13,2
111;13,2
112;13,2
113;13,3
114;13,3
115;13,3
116;13,4
117;13,4
118;13,4
119;13,4
120;13,5
121;13,5
122;13,5
123;13,6
124;13,6
125;13,6
126;13,7
127;13,7
128;13,7
129;13,8
130;13,8
131;13,8
132;13,9
133;13,9
134;14,0
135;14,0
136;14,0
137;14,1
138;14,1
139;14,2
140;14,2
141;14,3
142;14,3
143;14,3
144;14,4
145;14,4
146;14,5
147;14,5
148;14,6
149;14,6
150;14,7
151;14,7
152;14,8
153;14,8
154;14,8
155;14,9
156;14,9
157;15,0
158;15,0
159;15,1
160;15,1
161;15,2
162;15,2
163;15,2
164;15,3
165;15,3
166;15,4
167;15,4
168;15,4
169;15,5
170;15,5
171;15,6
172;15,6
173;15,6
174;15,7
175;15,7
176;15,7
177;15,8
178;15,8
179;15,8
180;15,9
181;15,9
182;15,9
183;16,0
184;16,0
185;16,0
186;16,0
187;16,1
188;16,1
189;16,1
190;16,1
191;16,2
192;16,2
193;16,2
194;16,2
195;16,2
196;16,2
197;16,3
198;16,3
199;16,3
200;16,3
201;16,3
202;16,3
203;16,3
204;16,4
205;16,4
206;16,4
207;16,4
208;16,4
209;16,4
210;16,4
211;16,4
212;16,4
213;16,4
214;16,4
215;16,4
216;16,4
217;16,5
218;16,5
219;16,5
220;16,5
221;16,5
222;16,5
223;16,5
224;16,5
225;16,5
226;16,5
227;16,5
228;16,5
